level,number_of_requests_per_sec
2,70.50814634507151
3,47.93906670750831
4,33.10145840263498
5,20.23191698472707
6,16.269326667814823
7,12.507524770574081
8,11.541220482282938
9,6.982280376669554
10,5.326119592940749
11,6.79735583547734
12,4.432098494083355
13,4.076783777092877
14,3.4479795227549745
15,3.208555527931305
16,1.845735547665273
17,1.1742713235253974
