level,number_of_requests_per_sec
2,45.20262380380422
3,26.55573244727781
4,20.187012326950068
5,16.513531235930902
6,10.700333793562304
7,7.045453571953199
8,6.0875782853504425
9,3.066433666767375
10,2.920174285704837
11,3.686344200844616
12,3.386742936338773
13,2.3578067724018203
14,2.6604684907822937
15,2.318091311200408
16,2.6540926382046726
17,3.0036936165251618
